/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_10_837.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_10_837.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_10_837.jpg,0,0,0,7.319891E-06
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_10_912.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_10_912.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_10_912.jpg,0,0,0,3.99991E-06
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_10_997.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_10_997.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_10_997.jpg,0,0,0,5.876213E-07
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_076.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_076.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_076.jpg,0,0,0,1.102282E-05
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_164.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_164.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_164.jpg,0,0,0,1.849183E-05
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_252.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_252.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_252.jpg,0,0,0,1.283988E-05
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_327.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_327.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_327.jpg,0,0,0,2.181748E-05
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_418.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_418.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_418.jpg,0,0.1199548,0,0.03572813
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_499.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_499.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_499.jpg,0,0.3325918,0,0.3206356
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_571.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_571.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_571.jpg,0,0.5477729,0,0.6654955
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_647.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_647.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_647.jpg,0,0.767424,0,1.359121
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_738.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_738.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_738.jpg,0,1,0,2.259672
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_783.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_783.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_783.jpg,-0.05,1,0,2.958645
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_870.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_870.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_870.jpg,-0.3,1,0,4.124269
/Users/jasonwasham/Desktop/car sim/track1/IMG/center_2019_01_27_15_40_11_952.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/left_2019_01_27_15_40_11_952.jpg,/Users/jasonwasham/Desktop/car sim/track1/IMG/right_2019_01_27_15_40_11_952.jpg,-0.5000001,1,0,5.032866
